Mecha Leo,,,,Giga Leo,,,,Alpha Leo,,,,
Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,
121,451.4556213017752,243.6923076923077,,121,356.94674556213016,252.28402366863907,,121,389.75147928994085,302.2721893491124,,
122,451.4556213017752,243.6923076923077,,122,351.47928994082844,256.18934911242604,,122,381.15976331360946,297.58579881656806,,
123,449.8934911242604,244.47337278106508,,123,347.5739644970414,252.28402366863907,,123,381.15976331360946,297.58579881656806,,
124,449.8934911242604,244.47337278106508,,124,349.91715976331363,254.62721893491124,,124,384.28402366863907,293.6804733727811,,
125,450.67455621301775,244.47337278106508,,125,353.0414201183432,255.40828402366864,,125,378.8165680473373,293.6804733727811,,
126,447.96385092239893,243.53088356113224,,126,353.8224852071006,253.06508875739647,,126,382.72189349112426,302.2721893491124,,
127,447.75580881703326,241.45728421238624,,127,353.8224852071006,253.06508875739647,,127,382.72189349112426,302.2721893491124,,
128,447.6087497606739,240.6421596783458,,128,349.1360946745562,256.18934911242604,,128,382.72189349112426,304.61538461538464,,
129,447.9148814624393,241.44682471674759,,129,349.91715976331363,256.18934911242604,,129,387.40828402366867,298.36686390532543,,
130,448.57159286946523,242.49837071113666,,130,349.91715976331363,256.18934911242604,,130,389.75147928994085,300.71005917159766,,
131,448.50777398558967,244.64400834281378,,131,351.47928994082844,255.40828402366864,,131,385.06508875739644,299.14792899408286,,
132,447.45592058614983,245.03340423855667,,132,354.603550295858,252.28402366863907,,132,392.094674556213,304.61538461538464,,
133,358.74935593783755,254.64971328845675,,133,352.2603550295858,256.9704142011834,,133,414.00703899231263,308.05788644993976,,
134,358.8340136054422,255.0765306122449,,134,358.50887573964496,253.06508875739647,,134,414.7455621301775,303.05325443786984,,
135,435.05325443786984,222.60355029585799,,135,354.603550295858,255.40828402366864,,135,412.40236686390534,301.49112426035504,,
136,432.03833006036797,225.2301258273329,,136,357.2792037272342,257.58441338415923,,136,430.64026318038106,288.0012817226352,,
137,434.2721893491124,224.1656804733728,,137,357.7278106508876,256.18934911242604,,137,461.7494994994995,268.0623123123123,,
138,434.2721893491124,224.1656804733728,,138,357.7278106508876,255.40828402366864,,138,481.01885880077367,250.32479045776915,,
139,433.49112426035504,223.3846153846154,,139,356.94674556213016,253.06508875739647,,139,479.10814408119126,254.9149821146327,,
140,433.49112426035504,223.3846153846154,,140,364.7573964497042,249.15976331360946,,140,492.63285688107015,235.07348359904708,,
141,433.49112426035504,223.3846153846154,,141,371.0059171597633,254.62721893491124,,141,498.1451071520785,204.40967381013854,,
142,433.49112426035504,223.3846153846154,,142,371.0059171597633,254.62721893491124,,142,496.5608190178726,208.01934756203363,,
143,433.49112426035504,223.3846153846154,,143,369.4437869822485,252.28402366863907,,143,496.6803579418344,208.53360178970917,,
144,433.49112426035504,223.3846153846154,,144,378.0355029585799,258.5325443786982,,144,495.76980728051393,206.47555317630264,,
145,432.71005917159766,211.66863905325445,,145,381.15976331360946,251.50295857988166,,145,506.47068470684707,193.99155391553916,,
146,436.62536213889575,206.76549954473967,,146,383.878987608753,247.88847877669392,,146,491.45491122190145,165.54360185428146,,
147,433.7723146139632,206.13649875471998,,147,386.1877394636015,247.28530043921128,,147,492.24170212765955,164.38874704491724,,
148,435.05325443786984,209.32544378698225,,148,385.84615384615387,248.3786982248521,,148,493.94306884261863,164.40189457887823,,
149,406.1538461538462,194.4852071005917,,149,385.06508875739644,243.6923076923077,,149,494.1818482667328,160.67295441383303,,
150,405.37278106508876,193.70414201183434,,150,381.15976331360946,247.5976331360947,,150,495.2808368996671,163.7632905373276,,
151,403.0295857988166,190.57988165680473,,151,383.5029585798817,249.15976331360946,,151,496.32100340136054,156.89778911564625,,
152,409.27810650887574,190.57988165680473,,152,383.5029585798817,245.25443786982248,,152,483.0921675774135,150.97914389799635,,
153,402.24852071005915,193.70414201183434,,153,385.84615384615387,249.15976331360946,,153,473.4562653995072,154.4294262583597,,
154,404.5917159763314,191.36094674556213,,154,386.62721893491124,249.94082840236686,,154,475.1510778549795,145.09460181721005,,
155,403.0295857988166,191.36094674556213,,155,386.62721893491124,254.62721893491124,,155,475.74308943089426,146.01664275466285,,
156,403.0295857988166,191.36094674556213,,156,386.62721893491124,254.62721893491124,,156,475.4681176021382,145.02987781596028,,
157,403.0295857988166,191.36094674556213,,157,386.62721893491124,246.81656804733728,,157,475.1928685671277,143.01166619625553,,
158,406.1538461538462,191.36094674556213,,158,385.06508875739644,252.28402366863907,,158,475.8156905874805,141.6511777105673,,
159,402.24852071005915,190.57988165680473,,159,383.5029585798817,248.3786982248521,,159,475.7376811594202,141.6945652173913,,
160,399.9670712990093,193.39479559090273,,160,401.47959315050855,247.06443929445086,,160,477.81654360056257,140.70525668073134,,
161,402.24852071005915,190.57988165680473,,161,401.4674556213018,248.3786982248521,,161,475.5481442577031,134.35600490196077,,
162,401.4674556213018,192.14201183431953,,162,402.24852071005915,240.5680473372781,,162,447.1990551685483,132.9708543518296,,
163,396.0,194.4852071005917,,163,396.0,244.47337278106508,,163,444.4048388433176,132.62482392907447,,
164,396.78106508875743,194.4852071005917,,164,398.3431952662722,242.1301775147929,,164,448.7520092799735,124.596901151711,,
165,378.8165680473373,196.0473372781065,,165,408.49704142011836,235.10059171597635,,165,446.6362053959965,125.11282538175487,,
166,375.2692501984556,200.66926463159413,,166,435.8268646164722,213.19780841286672,,166,446.7592446892211,123.21251857679867,,
167,375.6923076923077,202.2958579881657,,167,431.92899408284023,214.01183431952663,,167,449.0634502153089,119.38175586606907,,
168,370.792472666106,200.47687132043734,,168,424.5129749768304,211.6713005869632,,168,445.3517796830346,116.51615138131115,,
169,368.32425447316103,199.09284294234592,,169,424.4616329036218,208.91682013505218,,169,443.64423474877907,122.71831802003145,,
170,369.4437869822485,199.1715976331361,,170,426.46153846153845,209.32544378698225,,170,403.12983274990273,109.24068455853752,,
171,369.4437869822485,199.1715976331361,,171,419.4319526627219,210.10650887573965,,171,384.90632417768734,122.54857578840284,,
172,371.7869822485207,201.5147928994083,,172,426.46153846153845,197.6094674556213,,172,352.27991149043777,128.7419788209262,,
173,384.77282715768735,244.147078881564,,173,410.202068236715,195.5552536231884,,173,328.261670451678,158.43165951720076,,
174,392.09461980449214,244.57540482053577,,174,410.8470111448834,197.0724807107786,,174,308.9058273911974,169.1086796164249,,
175,389.15087480118154,243.7171854881466,,175,409.83662206093595,198.66318893173056,,175,290.724682194352,193.4296561726815,,
176,394.2973702914001,245.3056147832267,,176,395.66445044670684,187.58715977560772,,176,291.03933851165124,206.8609371084941,,
177,415.0556055155875,256.0606264988009,,177,383.247016619079,190.99289845523097,,177,284.39121283872663,207.51837235815134,,
178,442.3803372802296,239.24427700035878,,178,370.4487127371273,199.40860433604334,,178,286.156895858464,208.36268596702854,,
179,454.5930776426567,232.87176488930464,,179,354.8072538121704,189.52379934444917,,179,284.2764834501998,248.05338158787603,,
180,451.57208204220154,232.30382175003686,,180,349.1360946745562,202.2958579881657,,180,294.46153846153845,252.28402366863907,,
181,453.9346038863976,232.7455904334828,,181,349.5032514727258,205.91462015148036,,181,329.13034337771546,290.1618780658725,,
182,453.0353021045485,227.64841215961377,,182,349.90914699984575,206.5745796699059,,182,346.8152394893063,281.6052695779458,,
183,454.58583690987126,226.67632331902715,,183,350.67244611059044,206.2334426741643,,183,354.1058001726709,273.9190801349972,,
184,452.0547665459946,226.41167734150187,,184,350.7126410137536,206.71472724462987,,184,356.7328077091546,278.4213753832676,,
185,453.0295444870157,225.86513409961685,,185,344.69879187259744,213.9903898956617,,185,356.2002487562189,282.95584577114425,,
186,453.8331892203487,226.7730941057789,,186,343.94529289452925,205.00078870007886,,186,354.61782071927,286.22687421721236,,
187,453.0912935918921,228.72212911978292,,187,353.0565617363806,206.5536869340233,,187,355.2119157399873,287.06699213452674,,
188,458.8862947658402,236.60468319559226,,188,354.9542730999684,213.59515925575528,,188,356.81168505516547,284.57146439317955,,
189,469.7947695035461,234.0531176122931,,189,358.48842090027495,222.74113475177305,,189,404.04521837960704,287.56242896574116,,
190,468.55891100434684,235.71143140395026,,190,341.0479907487713,218.1186036426713,,190,441.50136892539354,293.64356605065024,,
191,463.1715976331361,232.75739644970415,,191,340.597165263688,218.20037412763506,,191,440.5207100591716,288.9940828402367,,
192,467.67821285140565,234.65729585006693,,192,341.2058308594047,218.8830022075055,,192,470.43624161073825,288.0999254287845,,
193,462.9930981595092,235.41743353783232,,193,345.66041275797375,223.416353971232,,193,470.13598673300163,288.6727764685345,,
194,451.09353589514444,232.92820971105152,,194,345.37858642407275,223.20682684083664,,194,478.9661694192861,293.4072988811934,,
195,442.9619701193795,218.47265708771178,,195,340.98678315412184,220.37335722819594,,195,484.5335719154737,269.764229720518,,
196,443.5473232437316,211.29177019802725,,196,344.8547089446285,224.2621864647421,,196,504.9544210706345,230.8322216521293,,
197,431.839647040925,185.76897915715807,,197,359.0271325524452,231.62431341406918,,197,503.5485175202156,230.58760107816713,,
198,428.02366863905326,186.67455621301775,,198,401.7100781992253,235.35869326901994,,198,501.4437869822485,226.50887573964496,,
199,404.9078418938914,180.73832170788418,,199,413.9358708189158,252.10126874279123,,199,491.5499271449387,166.01379960572555,,
200,396.60272514370877,176.45880349159037,,200,425.93032364460936,240.6691403834261,,200,483.5883407372769,135.37167796742264,,
201,392.6034409695737,181.4372404441054,,201,436.39991919191914,232.7170909090909,,201,469.58401901627354,126.2605595172792,,
202,395.0648321310891,183.07302520260038,,202,454.685130309247,229.13593192006684,,202,468.3229194245874,125.92048362898242,,
203,396.78106508875743,185.89349112426035,,203,448.3313609467456,215.57396449704143,,203,446.45066604708796,114.9261926889715,,
204,396.78106508875743,185.89349112426035,,204,443.64497041420117,203.85798816568047,,204,414.1062989134564,107.84583238355746,,
205,396.78106508875743,183.55029585798817,,205,443.64497041420117,189.79881656804733,,205,412.70820524946794,109.37132497832427,,
206,386.62721893491124,191.36094674556213,,206,435.8343195266272,178.8639053254438,,206,366.04866126796526,123.8220617202889,,
207,381.15976331360946,194.4852071005917,,207,438.9585798816568,178.0828402366864,,207,354.33630307408293,147.4188137089654,,
208,360.694683908046,216.9003591954023,,208,437.4320601593329,180.72757054575234,,208,333.011936881694,151.3590058049219,,
209,361.86454624574725,217.53390299865495,,209,436.529928233318,179.52817224003664,,209,308.32401912298053,181.93265743488294,,
210,361.3326222222222,217.9542222222222,,210,429.1723412251033,176.3195791055994,,210,262.5168851807707,202.28645212554628,,
